date,amount,money,open,max,min,close,delta,deal
0113/11/01,89610123,18433074201,202,208.5,201.5,208,-3.5,80888
0113/11/04,58094813,12294890607,209,214,208,214,6,39861
0113/11/05,43852449,9367062523,212,215.5,211,214,0,38403
0113/11/06,67838254,14573660427,215,217,212.5,213.5,-0.5,45706
0113/11/07,77417403,16779105487,212,219,212,217,3.5,53480
0113/11/08,54800994,11986609909,219.5,220,217.5,218,1,51977
0113/11/11,42180625,9234072034,219.5,220,217.5,220,2,31177
0113/11/12,69315077,14949730622,217.5,218.5,214,214,-6,57578
0113/11/13,55926693,11973365753,212.5,216.5,212.5,214.5,0.5,36731
0113/11/14,72322171,15335395727,215,215.5,209,211.5,-3,55336
0113/11/15,102463857,21409852373,212,214.5,206,207,-4.5,90848
0113/11/18,61852042,12613633700,205,208,202,202.5,-4.5,63316
0113/11/19,60416837,12275277231,203.5,205,201,203.5,1,45425
0113/11/20,44351353,9149397305,206.5,208.5,205,206,2.5,30182
0113/11/21,50295948,10213455556,205,205,202,202.5,-3.5,40002
0113/11/22,37504512,7668676032,205.5,207,203,203,0.5,27903
0113/11/25,80800240,16909706981,206,210.5,205.5,210.5,7.5,32913
0113/11/26,95313693,19363557785,207,207,202,202.5,-8,99867
0113/11/27,96019881,19063838432,200.5,201,196.5,196.5,-6,110119
0113/11/28,58511555,11432751066,196,199,193,195.5,-1,58622
0113/11/29,50800936,9954052225,193.5,199,192.5,195.5,0,37878
0113/12/02,47905269,9428699635,198.5,199.5,195.5,196,0.5,41679
0113/12/03,52170125,10312565933,198.5,200,196.5,196.5,0.5,47992
0113/12/04,50379504,10055268944,197.5,201.5,197,201,4.5,32459
0113/12/05,46475440,9319676695,203,203.5,199,199,-2,47064
0113/12/06,47526532,9465077239,199.5,201.5,197.5,198,-1,36972
0113/12/09,41114306,8084426101,198.5,199,195,195,-3,55012
0113/12/10,58994150,11375383210,193,195,192,192,-3,73633
0113/12/11,66246732,12596425979,190,194,189,189,-3,86964
0113/12/12,50634757,9624979364,190.5,193,188.5,188.5,-0.5,51432
0113/12/13,55417050,10371852143,188.5,189.5,185.5,186.5,-2,78777
0113/12/16,75228642,13834643194,188,189.5,181.5,182,-4.5,96744
0113/12/17,55667607,10220503792,181,186,181,183,1,47278
0113/12/18,47937386,8823563402,183,185.5,182.5,184.5,1.5,36056
0113/12/19,65029900,11756961039,181,182,179,181,-3.5,68455
0113/12/20,56744328,10296646083,181,184,180,181,0,33841
0113/12/23,52761423,9808419401,185,187.5,184,185.5,4.5,37334
0113/12/24,33589660,6258359645,187.5,187.5,185.5,185.5,0,29234
0113/12/25,21758176,4062013540,186.5,188,186,186.5,1,18772
0113/12/26,36347153,6835578141,187.5,189,187,187.5,1,26373
0113/12/27,22136195,4128454600,187.5,188,185.5,186.5,-1,22469
0113/12/30,24531536,4550186856,185.5,187,184.5,185,-1.5,22906
0113/12/31,22003451,4048043958,184.5,185,183,184,-1,24178
0114/01/02,41467354,7588159603,184,186,181.5,182.5,-1.5,48006
0114/01/03,48659205,8838730132,183,184,180.5,181,-1.5,52820
0114/01/06,67829021,12539307339,185,187.5,183.5,184.5,3.5,48289
0114/01/07,83019294,15727768928,187,192,186.5,190,5.5,61312
0114/01/08,41798818,7881691230,190,190,187,188,-2,68591
0114/01/09,47079538,8712211883,188,188,183,183,-5,53956
0114/01/10,42317494,7698779260,182.5,184,181,181.5,-1.5,47888
